fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,valid_year=2016,625517,16658,-48.094400083864684,48.094400083864684,165.22922516086496,106.66181262236482,62
1,valid_year=2017,518404,123771,35.802021580962794,35.802021580962794,142.01997670146093,88.91099914121186,38
2,valid_year=2018,205745,436430,-20.124287894627464,20.124287894627464,121.20333668284798,70.66381228873772,117
3,valid_year=2019,609563,32612,-4.228104966625578,4.228104966625578,95.64569189043203,49.93689842852881,215
4,valid_year=2020,609471,32704,28.95179877757892,28.95179877757892,106.04115563404308,67.496477205811,40
