feature,importance
hour_cos,34120856.0
hour,11753990.0
hour_sin,6394234.5
station,3836258.0
temperature_degrees_Celsius,3558742.0
longitude,2487684.25
installation_height,1974214.0
month_sin,1920154.375
latitude,1857529.625
relativehumidity,1589260.875
month,1412671.75
precipitation_mm,980151.6875
month_cos,959244.4375
elevation,927696.875
minute,632252.3125
day_of_year,621433.75
day_of_year_cos,594584.375
day_of_year_sin,477418.71875
year,336419.71875
day,215209.578125
day_of_week,152278.125
