feature,importance
hour_cos,45197548.0
hour,15168844.0
hour_sin,8121415.5
station,4758873.5
temperature_degrees_Celsius,3437729.75
installation_height,3128654.0
latitude,2763270.5
longitude,2613651.5
relativehumidity,2194842.25
month,1740208.125
elevation,1409007.875
precipitation_mm,976695.5625
day_of_year_sin,829592.375
minute,695932.0
day_of_year,688519.0
month_sin,570865.8125
day_of_year_cos,436668.46875
month_cos,407849.6875
year,269953.0
day,241168.0625
day_of_week,165914.203125
