fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,valid_month=1,583298,58877,-25.927195277508943,25.927195277508943,113.04327267977021,69.48523397863957,110
1,valid_month=3,526130,116045,1.2061015808370337,1.2061015808370337,94.33335182952925,47.76972670518314,224
2,valid_month=5,523139,119036,7.286028881749325,7.286028881749325,95.51811272983844,51.40207080579388,105
3,valid_month=7,523878,118297,-3.1807230249129095,3.1807230249129095,99.34742899423604,51.264076009574474,100
4,valid_month=9,527336,114839,-10.457935547445878,10.457935547445878,99.53802927242096,54.997982409933414,103
5,valid_month=11,527094,115081,9.538142605409876,9.538142605409876,106.82806867763323,58.18310564152155,56
