fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,forward_chunk=1,128450,128445,-0.7537096687855488,0.7537096687855488,94.52687146515717,47.64029056697136,150
1,forward_chunk=2,256895,128436,-2.0764132675160285,2.0764132675160285,104.43937974387035,53.25789650569319,280
2,forward_chunk=3,385331,128427,-3.210097562380431,3.210097562380431,95.0768072423401,49.14345240236026,137
3,forward_chunk=4,513758,128417,-3.444878216531624,3.444878216531624,104.09488949380666,53.76988385516914,88
