feature,importance
solar_elevation,116890104551.39844
clearsky_ghi,61677377641.0
solar_zenith,52040855875.796875
cos_zenith,24629784814.0
relativehumidity,18545544851.304688
station,14334416701.492188
temperature_degrees_Celsius,7526044917.3125
day_of_year,3804621761.40625
elevation,3157511590.0
longitude,2013685392.0
day_of_year_cos,1621419451.0
day_of_year_sin,1302697402.203125
hour,1245310285.203125
latitude,1218856165.0
day,1039126937.703125
clearsky_dhi,956077703.3984375
precipitation_mm,942944001.703125
clearsky_dni,858563663.6953125
month,707393753.8984375
hour_sin,538279550.5
day_of_week,388760140.0
month_cos,339884557.0
year,196285603.0
hour_cos,141640471.5
month_sin,135294407.0
installation_height,49047081.0
minute,24234668.5
is_daylight,0.0
