feature,importance
clearsky_ghi,84384823218.04102
solar_elevation,83502177894.87695
solar_zenith,73476590616.71875
relativehumidity,18298554051.796875
station,14954843519.351562
temperature_degrees_Celsius,7939921932.078125
day_of_year,4472698972.150391
cos_zenith,3453422430.703125
elevation,2754309470.794922
longitude,2022084913.9726562
day_of_year_cos,1932609003.4121094
day,1592543145.9121094
hour,1404131615.2558594
latitude,1389655478.0234375
day_of_year_sin,1384729918.0019531
clearsky_dhi,1205911276.6894531
month,1048710636.6953125
clearsky_dni,1024185683.3125
precipitation_mm,884092436.8925781
hour_sin,639362259.1191406
day_of_week,623206203.1816406
year,210814742.41796875
hour_cos,178799810.6875
month_cos,87965666.20703125
month_sin,70928122.203125
minute,54486965.890625
installation_height,32304838.3046875
is_daylight,0.0
