feature,importance
clearsky_ghi,82162056499.0
solar_elevation,81068289739.0
solar_zenith,79470455087.0
cos_zenith,20787627709.0
station,16362205181.0
relativehumidity,14449203546.0
temperature_degrees_Celsius,6632280554.0
day_of_year,3151816124.0
elevation,2631847550.0
longitude,1998049011.0
day_of_year_sin,1484383767.0
day_of_year_cos,1400793040.0
hour,1251418638.0
clearsky_dhi,1232926607.0
precipitation_mm,1201907700.0
latitude,809012428.0
clearsky_dni,784530865.0
day,640275357.0
month,613604808.0
hour_sin,522604519.0
day_of_week,206692060.0
year,202010258.0
hour_cos,94866875.0
installation_height,78249027.0
month_cos,66965635.0
month_sin,61788038.0
minute,9338672.0
is_daylight,0.0
