station,n,mbe,rmse,combined
TA00078,16658.0,-5.920451408503933,124.7679122470604,65.34418182778217
TA00109,16712.0,1.1440789827254878,99.07443824484328,50.109258613784384
TA00117,15194.0,-0.6720613520421503,97.04373627573187,48.85789881388701
TA00118,11713.0,-5.9397558047260475,89.12587307503654,47.53281443988129
TA00119,16460.0,4.476748715233912,98.98955641655508,51.73315256589449
TA00121,16004.0,-2.2416630994117734,92.65864217232759,47.45015263586968
TA00122,16257.0,-7.215097320061872,121.13414330539845,64.17462031273016
TA00123,16223.0,-5.270423920159977,160.12032371244806,82.69537381630401
TA00134,15208.0,-2.4924068716028884,113.68539623348349,58.08890155254319
TA00325,17344.0,-3.6715150028126087,102.37703486114334,53.02427493197798
TA00328,17013.0,-7.0405997540895235,84.12822291349775,45.58441133379364
TA00330,17437.0,-8.763093976305624,108.13899922550551,58.45104660090557
TA00331,17094.0,-6.838789621463473,111.99529401959045,59.41704182052696
TA00333,17109.0,-6.538249573986236,82.20969638988574,44.373972981935985
TA00334,16559.0,-5.852503268135522,86.29080535739946,46.07165431276749
TA00335,16643.0,-5.286007879903692,75.35755708382177,40.32178248186273
TA00336,16739.0,-5.0857147350061656,84.60389741957847,44.84480607729232
TA00337,16833.0,-4.645770187079788,82.89655993495411,43.77116506101695
TA00338,16939.0,9.176459324308345,143.13565407904215,76.15605670167525
TA00342,15791.0,-3.607792590031511,85.22684499595073,44.41731879299112
TA00343,16237.0,-4.604145201307778,77.90515708404916,41.25465114267847
TA00344,16155.0,-7.006300828575001,84.00074818062069,45.50352450459785
TA00346,16076.0,-6.038366786588566,89.59024635636831,47.81430657147844
TA00348,15995.0,-29.391848994861533,115.98772209203354,72.68978554344753
TA00349,15807.0,-4.215274695409188,92.27702512385109,48.24614990963014
TA00350,15407.0,-2.73179564212876,77.93003711109576,40.33091637661226
TA00353,15492.0,-0.23217202061551884,107.57311009004421,53.902641055329866
TA00354,15648.0,-1.4153307176967722,83.76681603918247,42.591073378439624
TA00355,16171.0,-3.632233322908882,65.58792242107751,34.6100778719932
TA00358,15614.0,1.7910184660470332,108.75773766769393,55.27437806687048
TA00359,15517.0,3.1625965657272257,98.71901841536486,50.94080749054604
TA00360,16000.0,-2.0100580515283495,102.90051716352326,52.455287607525804
TA00361,15102.0,-0.9126129040134766,102.60211672463666,51.757364814325065
TA00365,14995.0,-4.604744352609148,82.45777117261859,43.53125776261387
TA00374,15400.0,-0.8285099184235103,89.87768866957047,45.35309929399699
TA00375,15313.0,-1.7292897056282481,99.21682167857517,50.47305569210171
TA00587,17416.0,-2.7355007141441616,92.06902333096359,47.40226202255388
TA00692,16620.0,4.52465969210744,85.15113616893127,44.837897930519354
TA00696,15196.0,2.222438545045928,85.4483024617499,43.83537050339792
TA00697,16084.0,0.5093564404125391,110.22156828189716,55.365462361154854
