fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,valid_month=1,583298,58877,-25.315224996761337,25.315224996761337,113.56931366095809,69.44226932885971,89
1,valid_month=3,526130,116045,4.731738558965443,4.731738558965443,93.40717310565334,49.069455832309394,432
2,valid_month=5,523139,119036,1.6135962995308468,1.6135962995308468,93.36839768344845,47.490996991489645,194
3,valid_month=7,523878,118297,3.539964208687011,3.539964208687011,98.53953938894091,51.03975179881396,103
4,valid_month=9,527336,114839,-11.494136427071949,11.494136427071949,96.85272448245676,54.17343045476436,108
5,valid_month=11,527094,115081,-4.192192303562123,4.192192303562123,105.64270798595949,54.91745014476081,117
