feature,importance
solar_zenith,132289327944.0
clearsky_ghi,72173852151.0
solar_elevation,51182318049.0
cos_zenith,17161117316.0
station,16180101735.0
relativehumidity,14808695114.0
temperature_degrees_Celsius,6375097137.0
day_of_year,2764488701.0
elevation,2677879770.0
day_of_year_sin,2415413209.0
longitude,2134942669.0
precipitation_mm,1106810501.0
latitude,1097744727.0
hour,1088603847.0
day_of_year_cos,1076986067.0
clearsky_dni,772484264.0
day,749245782.0
month,619160925.0
clearsky_dhi,607376085.0
hour_sin,559944409.0
year,272948348.0
day_of_week,214308324.0
month_sin,168696680.0
installation_height,115939432.0
month_cos,95345915.0
hour_cos,76709921.0
minute,13088764.0
is_daylight,0.0
