feature,importance
hour_cos,127794147498.0
hour,57548714854.0
temperature_degrees_Celsius,36715381640.0
station,29118522702.0
hour_sin,25318870186.0
latitude,17095073703.0
relativehumidity,9995229906.0
longitude,8295231895.0
day_of_year,3827255019.0
elevation,3546643431.0
day_of_year_sin,3036235915.0
minute,1784677582.0
day_of_year_cos,1061752616.0
month,698165537.0
day,691332890.0
precipitation_mm,612856018.0
installation_height,226733645.0
day_of_week,192141650.0
month_sin,151366305.0
month_cos,75271269.0
year,46858727.0
