feature,importance
hour_cos,131955156889.0
hour,62729015162.0
temperature_degrees_Celsius,31882294766.0
station,31678896987.0
hour_sin,27930303150.0
relativehumidity,14138805045.0
latitude,13534373383.0
longitude,10728231884.0
elevation,5262817521.0
day_of_year,3976301052.0
minute,1807089856.0
month,1594815124.0
day_of_year_cos,1152146992.0
day_of_year_sin,1000964077.0
precipitation_mm,665550607.0
day,435014472.0
installation_height,322458204.0
day_of_week,107894138.0
year,91792278.0
month_cos,79966344.0
month_sin,74534123.0
