feature,importance
hour_cos,123585747691.0
hour,58895846645.0
station,30304758936.0
temperature_degrees_Celsius,26919356947.0
hour_sin,25232727733.0
relativehumidity,13698034878.0
latitude,13023629286.0
longitude,7405057301.0
elevation,4799960069.0
day_of_year,3187937568.0
day_of_year_sin,2635768682.0
minute,1509176917.0
day_of_year_cos,1000392608.0
precipitation_mm,592967054.0
day,410513569.0
month,314861706.0
installation_height,296101755.0
year,103973002.0
month_cos,75373796.0
day_of_week,71192731.0
month_sin,26611330.0
