feature,importance
hour_cos,115383145395.20898
hour,47767326274.85547
temperature_degrees_Celsius,34830545914.91406
station,30694871254.998047
hour_sin,27116445653.226562
latitude,12360560689.585938
relativehumidity,11422614684.792969
longitude,5740990456.199219
elevation,5401861080.265625
day_of_year,4860799270.3828125
day_of_year_sin,1997864131.0039062
day_of_year_cos,1995315453.0917969
minute,1615279717.5898438
day,1261615126.1132812
month,765005958.5039062
precipitation_mm,562461650.8945312
day_of_week,463910489.69921875
installation_height,339517998.0
month_cos,117102093.6015625
month_sin,100327234.00390625
year,82588103.6953125
