fold,description,n_train,n_valid,mbe,rmse,combined,best_iteration
0,valid_month=1,583298,58877,-23.800220155193696,114.89237876986878,69.34629946253123,84
1,valid_month=3,526130,116045,1.9879626844791696,94.33321459715717,48.16058864081817,275
2,valid_month=5,523139,119036,6.763009403577664,93.63829970613116,50.20065455485442,87
3,valid_month=7,523878,118297,-1.7335625824751502,98.93052430583123,50.332043444153186,107
4,valid_month=9,527336,114839,-12.107089669050232,98.23947328001272,55.17328147453148,144
5,valid_month=11,527094,115081,11.04753301663006,108.08031908384325,59.56392605023665,59
