station,n,mbe,rmse,combined
TA00078,16658.0,-4.60412175585876,122.22105408030889,63.41258791808382
TA00109,16712.0,1.03403717501444,99.06924274925346,50.05163996213395
TA00117,15194.0,2.2995702646096956,100.07191323235288,51.18574174848129
TA00118,11713.0,0.5164066069776534,94.5514446920801,47.533925649528875
TA00119,16460.0,1.1661163562413077,99.07748890720033,50.12180263172082
TA00121,16004.0,-3.98675667519338,91.68175882915958,47.83425775217648
TA00122,16257.0,-11.640271981910653,117.75283704871995,64.6965545153153
TA00123,16223.0,-3.4024860997569064,149.3485146348358,76.37550036729635
TA00134,15208.0,-2.9012947349851848,112.96743071750066,57.934362726242924
TA00325,17344.0,-4.4673259332979764,106.29711322685019,55.38221958007408
TA00328,17013.0,-5.314605176259734,86.82994000590335,46.07227259108154
TA00330,17437.0,-6.1311264827330545,114.94739676955989,60.53926162614647
TA00331,17094.0,-6.858383556444878,118.4495837011763,62.653983628810586
TA00333,17109.0,-3.6207383478823822,86.16361270275544,44.89217552531891
TA00334,16559.0,-1.4236037589547543,87.97314366525913,44.69837371210694
TA00335,16643.0,-0.196114479096063,80.57012084813798,40.38311766361702
TA00336,16739.0,0.003994231832907819,88.49128777384367,44.247641002838286
TA00337,16833.0,-1.5255446436795599,86.75681206670745,44.14117835519351
TA00338,16939.0,9.188421315208556,133.86838590033318,71.52840360777087
TA00342,15791.0,2.750461669722808,90.6667061129178,46.7085838913203
TA00343,16237.0,1.9355384405052667,84.49342821382929,43.21448332716728
TA00344,16155.0,-2.648902953960947,88.52099049136717,45.58494672266406
TA00346,16076.0,0.2620213816873405,93.84105954951862,47.05154046560298
TA00348,15995.0,-18.016548020669152,110.75021061166488,64.38337931616702
TA00349,15807.0,2.8367797196990887,98.53861529778433,50.687697508741714
TA00350,15407.0,1.0098504508543935,84.20315960603364,42.60650502844401
TA00353,15492.0,-1.2173027213814853,108.67522192025754,54.946262320819514
TA00354,15648.0,0.9232194427240822,85.8824048111932,43.402812126958636
TA00355,16171.0,-0.9185368946279737,67.39816447799406,34.15835068631102
TA00358,15614.0,4.151811901163812,107.10154838168246,55.62668014142314
TA00359,15517.0,3.4231136831352744,99.072989215839,51.248051449487136
TA00360,16000.0,-1.015785809388522,103.00152834583632,52.00865707761242
TA00361,15102.0,-1.4646781900300319,105.9898361484531,53.72725716924156
TA00365,14995.0,0.8085775004023097,89.27713949351188,45.042858496957095
TA00374,15400.0,1.8325257382753555,91.29694083248062,46.56473328537798
TA00375,15313.0,-1.5224925947410142,100.0187201509763,50.77060637285866
TA00587,17416.0,-0.9822817690684936,91.98426409051778,46.48327292979314
TA00692,16620.0,4.141479203699139,87.23448194123829,45.68798057246871
TA00696,15196.0,2.542453667064945,88.53309761503763,45.53777564105129
TA00697,16084.0,2.27314769104928,108.21036599907325,55.24175684506126
