feature,importance
hour_cos,120355763305.0
hour,49667346459.0
temperature_degrees_Celsius,36986982132.0
hour_sin,26269868752.0
station,24774836259.0
latitude,13826249996.0
relativehumidity,11052942100.0
longitude,9590803175.0
elevation,6251171415.0
day_of_year,3771826707.0
day_of_year_cos,1702956136.0
day_of_year_sin,1629818876.0
minute,1581821184.0
month,691442662.0
precipitation_mm,592902745.0
month_sin,458540409.0
day,431744441.0
month_cos,321331855.0
installation_height,315614593.0
day_of_week,120828030.0
year,78080102.0
