fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,forward_chunk=1,128450,128445,2.9509365298577137,2.9509365298577137,94.49604921021916,48.723492870038434,129
1,forward_chunk=2,256895,128436,1.0695871929384075,1.0695871929384075,100.85421597447167,50.96190158370504,191
2,forward_chunk=3,385331,128427,-1.5255936748948427,1.5255936748948427,95.56795655438617,48.5467751146405,127
3,forward_chunk=4,513758,128417,8.007412201710855,8.007412201710855,104.70017901602114,56.353795608865994,91
