fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,forward_chunk=1,128450,128445,-0.08587245188292131,0.08587245188292131,94.76543841615852,47.42565543402072,177
1,forward_chunk=2,256895,128436,-1.664328037660035,1.664328037660035,100.9607058870193,51.31251696233967,262
2,forward_chunk=3,385331,128427,-2.024128608653666,2.024128608653666,95.22660968094056,48.62536914479711,157
3,forward_chunk=4,513758,128417,11.121569404125077,11.121569404125077,105.87151622476983,58.49654281444746,52
