fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,valid_year=2016,625517,16658,-77.88127703567478,77.88127703567478,208.3217209936465,143.10149901466065,58
1,valid_year=2017,518404,123771,12.012313031472846,12.012313031472846,155.28718251072848,83.64974777110066,33
2,valid_year=2018,205745,436430,-11.35644479759367,11.35644479759367,146.32438583265156,78.84041531512261,101
3,valid_year=2019,609563,32612,-28.645875998894592,28.645875998894592,113.92949013140381,71.2876830651492,222
4,valid_year=2020,609471,32704,10.68232267624571,10.68232267624571,109.25053909853874,59.96643088739222,52
