fold,description,n_train,n_valid,mbe,abs_mbe,rmse,combined,best_iteration
0,valid_year=2016,625517,16658,-79.04975904696457,79.04975904696457,254.75123185377726,166.9004954503709,152
1,valid_year=2017,518404,123771,39.18021786529988,39.18021786529988,181.97408432684293,110.5771510960714,63
2,valid_year=2018,205745,436430,4.552126966986792,4.552126966986792,188.05185539853667,96.30199118276174,543
3,valid_year=2019,609563,32612,4.867799664217514,4.867799664217514,174.39056745416806,89.62918355919278,4999
4,valid_year=2020,609471,32704,64.4414519858337,64.4414519858337,156.21958166184973,110.33051682384172,38
